Column,Column,Column,Column,Column,Group,Column,C,Column,Column,ompany,Column
Year ended,30 June,,2023,,2022,,2023,,,2022,
,,Shs’000,,Shs’000,,Shs’000,,,Shs’000,,
,,"861,924",,"802,370",,"605,210",,,"567,071",,
,,190,",393",,"91,165",,"121,5",72,,"60,1",27
,,"(51,113)",,"(31,611)",,"(35,350)",,,"(21,988)",,
,,"(37,725)",,-,,"(26,097)",,,-,,
Closing bala,nce,963,",478",8,"61,924",,"665,335",,,"605,210",
