Director,Column,19 July 202,3,"25 Octo
2023",ber,"24 Ja
2024",nuary,10 May 20,24,"13 Jun
2024",e
F Murimi (Chair),,√,,√,,√,,√,,√,
"Centum Investment Company
PLC (Represented by T Omondi)",,√,,√,,√,,√,,√,
A K Huss,ein,√,,-,,,√,√,,-,
M Githu,,√,,-,,√,,-,,-,
E Miloyo *,,-,,-,,-,,√,,√,
S Gitau *,,-,,-,,,-,-,,√,
D Irungu,*,-,,-,,,-,-,,√,
