Kenya,Tanzania,Uganda,Rwanda,"Inter segment
transactions",Total
Shs’000,Shs’000,Shs’000,Shs’000,Shs’000,Shs’000
"1,399,268","61,108","63,574","76,447",-,"1,600,397"
"(593,803)","(34,199)","(41,079)","(25,508)",-,"(694,589)"
"222,716","5,335","(4,927)","40,844",-,"263,968"
"2,581,039","(27,627)","55,142","40,076","(309,957)","2,338,673"
"1,394,517","(32,961)","60,112","23,467","(210,766)","1,234,369"
