Director,Column,Column,Column,Column,Column,"30 August
2022","17 November
2022","16 February
2023",8 June 2023
"F T Nyammo (Board Chairman)
M Wahome",Nyammo (Bo,ard Chairman,),,,√,√,√,√
,,,,,,√,√,√,√
"T Kwaka-Sumba
Centum Investment Company PLC (R
by T Omondi)
R Nyamweya*
A K Hussein",,,,,,√,√,√,√
,"um Investme
Omondi)",nt Company,PLC (R,eprese,nted,√,√,√,√
,,,,,,√,√,,
,,,,,,√,√,√,√
"M Githu
F Murimi",ithu,,,,,-,√,√,√
,,,,,,√,√,√,√
"E Miloyo
D Irungu**",,,,,,√,√,-,√
,ngu**,,,,,,,,√
