Computer,Intellectual,Column
software,property,Total
Sh’000,Sh’000,Sh’000
"23,943","41,423","65,366"
"(16,519)","(40,905)","(57,424)"
"7,424",518,"7,942"
"7,424",518,"7,942"
"4,694",-,"4,694"
39,-,39
"(4,311)",(487),"(4,798)"
"7,846",31,"7,877"
"28,676","41,423","70,099"
"(20,830)","(41,392)","(62,222)"
"7,846",31,"7,877"
"7,846",31,"7,877"
69,"1,259","1,328"
-,756,756
"(4,710)",(446),"(5,156)"
"3,205","1,600","4,805"
"28,745","43,438","72,183"
"(25,540)","(41,838)","(67,378)"
"3,205","1,600","4,805"
