Column,Column,Group,Column,Column,Company,Column,Column,Column
,,2023,202,2,,2023,,2022
,,Shs’000,Shs’00,0,Sh,s’000,,Shs’000
,,"289,780","862,622",,"484,438",,"936,444",
,,"1,220,485","979,999",,"1,178,865",,"935,667",
,,"14,342",,-,1,"4,342",,-
,,"(83,075)","(160,414)",,"(69,352)",,"(153,584)",
,,"1,151,752","819,585",,"1,123,855",,"782,083",
Gearing rati,o,397%,95,%,,232%,,84%
