Gr,Column,Column,Column,oup,Company,Column,Column,Column
2023,,2022 Resta,,ted,2023,,2022 Restated,
Shs’0,00,,Shs’,000,,Shs’000,Shs,’000
"1,046,204",,"1,464,",,156,"858,286",,"1,037,474",
"24,8",27,,"9,",330,,"24,827",9,",330"
"1,071,0",31,,"1,473,",486,,"883,113","1,046",",804"
