Column,Column,Name of Shareholder,Column,Column,Column,No. of Shares,Column,%,Column
"1
2",,Stanbic N,ominees Ltd,A/C R,98301,"164,","014,078",,60.20%
,,Pacific Futures and Options L,,,imited,"35,011,750",,12.85%,
"3
4",,Francis Thombe Nyammo,,,,"16,018,000",,5.88%,
,,Halifax C,apital Corpor,ation L,imited,"12,","238,484",,4.49%
"5
6",,Kamami I,nvestments L,imited,,"3,","114,050",,1.14%
,,Gurbir Singh Amrik Singh He,,,er,"1,713,900",,0.63%,
"7
8",,Mrs Jane Kaari Mugiri (Decea,,,sed),"1,513,600",,0.56%,
,,Charles E,songa Ondu,so,,"1,","504,194",,0.55%
"9
10
11",,George Ireri Mbaabu,,,,"1,500,000",,0.55%,
,,Kestrel Capital Nominees Lim,,,ited A/c 8,"1,479,400",,0.54%,
,,Others,,,,"34,333,017",,12.60%,
,l Issued Shar,,es,,,"272,","440,473",,100.00%
