Country,Column,KE,Column,UG,Column,Column,Column,TZ,Column,Column,RW,Column
Classificatio,n /Ratios,LGD,PD,,LGD,,PD,L,GD,PD,LGD,PD
Active custo,mers,19%,20%,,39%,,42%,3,1%,34%,100%,100%
Inactive customers,,37%,100%,80%,,81%,,87%,,83%,100%,100%
Government,,1%,23%,14%,,8%,,-,,-,-,-
Staff,,46%,52%,,39%,,38%,5,6%,45%,-,-
Export customers,,67%,5%,-,,-,,-,,-,-,-
