For the year ended 30 June 2022,Salary,Fees,Gratuity,Bonuses,Total
,Shs 000,Shs 000,Shs 000,Shs 000,Shs 000
,-,"2,366",-,-,"2,366"
,"18,480",-,-,-,"18,480"
,-,"1,426",-,-,"1,426"
,-,"1,009",-,-,"1,009"
,-,"1,335",-,-,"1,335"
,-,"1,980",-,-,"1,980"
,-,"1,199",-,-,"1,199"
,-,"3,125",-,-,"3,125"
,"18,480","12,440",-,-,"30,920"
,-,"1,491",-,-,"1,491"
,"13,090",-,-,-,"13,090"
,-,782,-,-,782
,-,735,-,-,735
,-,746,-,-,746
,-,-,-,-,-
,-,"1,223",-,-,"1,223"
,-,700,-,-,700
,-,"1,720",-,-,"1,720"
,"13,090","7,397",-,-,"20,487"
