Group,Column,Column,Column
2019,2018,2019,2018
"1,600,397","1,696,318","1,364,899","1,519,132"
57%,54%,57%,54%
23%,21%,23%,24%
"185,125","183,604","153,660","195,867"
"1,104,304","1,039,638","1,142,726","1,101,909"
