"Land and
buildings","Motor
Vehicles","Furniture and
equipment",Total
Shs’000,Shs’000,Shs’000,Shs’000
"209,560","36,570","81,414","327,544"
"(44,209)","(35,949)","(57,851)","(138,009)"
"165,351",621,"23,563","189,535"
"165,351",621,"23,563","189,535"
-,-,"4,194","4,194"
-,"(5,671)",-,"(5,671)"
"(5,095)",(553),"(5,126)","(10,744)"
-,"5,671",-,"5,671"
-,-,-,-
"160,256",68,"22,631","182,985"
"209,560","30,899","85,608","326,067"
"(49,304)","(30,831)","(62,977)","(143,112)"
"160,256",68,"22,631","182,955"
"160,256",68,"22,631","182,955"
962,"11,444","5,665","18,071"
-,"(3,460)",-,"(3,460)"
"(5,399)","(1,563)","(6,262)","(13,224)"
-,"3,460",-,"3,460"
"155,819","9,948","22,035","187,802"
"210,522","38,883","91,273","340,678"
"(54,703)","(28,935)","(69,239)","(152,876)"
"155,819","9,948","22,035","187,802"
