Column,"Fully
performing",Past due,Impaired,Total
,Sh’000,Sh’000,Sh’000,Sh’000
30 June 2013,,,,
Trade receivables,"135,187","7,920","31,592","174,699"
Bank balances,"44,309",-,-,"44,309"
,_______,_______,_______,_______
,"179,496","7,920","31,592","219,008"
,=======,=======,=======,=======
