Column,Column,Column,Column,Group,Column,Column,Column,Compan,Column,y
,,,2024,,2023,,202,,4 2023,
,,,KShs’000,,KShs’000,,KShs’00,,0 KShs’000,
"Interest expe
Loan facility","nse
restructuring",fee,20,"4,648",,"157,182",,"204,56",5,"156,918"
,,,,-,,"25,000",,,-,"25,000"
,,,"204,648",,"182,182",,"204,56",,"5 181,918",
