Column,Column,Column,Column,Grou,p,Column,Column,C,Column,ompany,Column
2023,,,2022 Restate,,d 2023,,,,2022 Restated,,
Shs’000,,,Shs’00,,0 Shs’000,,,,Shs’000,,
"25,0",,04,,"22,56",0,"25,23",,0,,"22,560",
"(37,619)",,,"(39,768",,") (37,619)",,,,"(39,768)",,
,"(87,7",85),,"(24,389",),,"(87,78",5),,"(24,3",89)
"(100,400)",,,"(41,597",,") (100,174)",,,,"(41,597)",,
