"Year ended 30 June
2025",KShs’000,KShs’000,KShs’000,KShs’000,KShs’000,KShs’000,KShs’000
At start of year,"272,440","368,289","(527,492)","(83,967)",-,"(5,841)","23,429"
Loss for the year,-,-,"(261,868)",-,-,424,"(261,444)"
"Other comprehensive
income",,,,,,,
Revaluation surplus,-,-,-,,"330,002",673,"330,675"
Deferred tax,-,-,-,-,"(76,391)",(201),"(76,592)"
"Exchange difference
on translation",-,-,-,"2,040",-,-,"2,040"
At end of year,"272,440","368,289","(789,360)","(81,927)","253,611","(4,945)","18,108"
