Column,No. of shareholders,No. of shares,%
Less than 500,"1,474","260,189",0.10
501 - 5000,1046,"2,119,717",0.78
"5001 – 10,000",244,"1,831,239",0.67
"10,001 – 100,000",306,"8,813,586",3.23
"100,001 – 1,000,000",36,"10,724,316",3.94
"Above 1,000,000",17,"248,691,426",91.28
Totals,"3,123","272,440,473",100.00
