Condensed Consolidated Statement of Cashflows for the Year Ended 30 June,Column,Column
,2020,2019
,Kshs '000,Kshs '000
Cash generated from operations,"138,451","177,533"
Income tax paid,"(75,715)","(93,623)"
Net cash generated from operating activities,"62,736","83,910"
Net cash used in investing activities,"(246,852)","(162,926)"
"Net cash generated from/(used in) financing
activities","231,141","(257,710)"
Net increase in cash and cash equivalents,"47,025","(336,726)"
Cash and cash equivalents at start of year,"73,128","418,780"
Foreign exchange impact of translation,"(4,384)","(8,926)"
Cash and cash equivalents at end of year*,"115,769","73,128"
*Inclusive of bank overdrafts,,
