Group,Column,Column,Column,Column,Company,Column,Column,Column
2024,,,2023,,2024,,2023,
KShs’000,,,KShs’000,,KShs’000,,KShs’000,
,"121,28",2,133,",849",,"21,678",,"79,515"
-,,,-,,"17,547",,-,
397,,,-,,397,,-,
,"(2,15",9),(62,",546)",,(21),,"(61,071)"
,"57,23",2,49,",979",,"18,158",,"3,234"
"176,752",,,"121,282",,"57,759",,"21,678",
