Notes,"2018
Shs’000","2017
Shs’000"
5,"1,696,318","1,451,774"
,"(781,140)","(702,173)"
,"915,178","749,601"
,229,"2,352"
,"(134,591)","(169,445)"
,"(422,452)","(350,812)"
,"358,364","231,696"
6,"(85,218)","(52,549)"
,"273,146","179,147"
9,"(89,542)","(45,271)"
,"183,604","133,876"
,"183,031","133,973"
,573,(97)
,"183,604","133,876"
,"(10,664)","(15,250)"
,"172,940","118,626"
10,0.67,0.49
