Column,RISK,OPPORTUNITIES
1,"Piracy
Resulting in loss of revenue for
publishers","Longhorn Publishers Plc has been working with
the Kenya Publishers Association and Kenya
Copyright Board in combating the piracy menace.
We have added security tags that verify a
product’s authenticity. This security feature has
reduced the degree of piracy.
In addition, Longhorn Publishers Plc has
diversified into digital publishing which has been
enhanced with security features to minimise
piracy."
2,"Education Policy Change
The move from knowledge-based
curriculum to competency-based
curriculum will mean a complete
overhaul of Longhorn’s course
books. The Company will need to
invest significantly so as to have
the right products for this new
curriculum.","Longhorn Publishers Plc has now developed
products aligned to the new curriculum and
trained thousands of teachers on how to
deliver the curriculum."
3,"Shift to Digital Publishing
This shift to digital publishing is a
major disruption to the traditional
publishing business.","Longhorn Publishers Plc has been able to
work with digital service providers and digital
platform vendors to deliver content to the end
user.
Longhorn Publishers Plc, has been able to
convert over 60% of its content to digital format.
In addition, the company has a dedicated team
that specialises in development of content for
the digital platforms ."
