Column,"Country of
incorporation",Column,"% interest
held",Column,2024,Column,2023,Column
,,,,,KShs’0,00,,KShs’000
"ited
mited
ited
ited
d",Uganda,,100%,,440,,440,
,Tanzania,,100%,,"41,688",,"41,688",
,,Rwanda,100,%,,-,,-
,Zambia,,100%,,337,,337,
,DRC,,50%,,-,,-,
,Kenya,,92%,,-,,-,
,,Kenya,100,%,,-,,-
,,,,,"42,465",,"42,465",
