Column,"Fully
performing",Past due,Impaired,Total
,Sh’000,Sh’000,Sh’000,Sh’000
30 June 2013,,,,
Trade receivables,"158,961","9,600","38,810","207,371"
Bank balances,"122,205",-,-,"122,205"
,________,________,________,________
,"281,166","9,600","38,810","329,576"
,========,========,========,========
