RESOLUTION,FOR,AGAINST,ABSTAIN
ORDINARY BUSINESS,,,
"1. To receive, consider and adopt the Financial Statements for the (cid:285)nancial year
ended 30 June 2025 together with the Chairman’s Statement, and the Directors’
and Auditors’ reports thereon.",,,
"2. Re-election of Ms EmmaMs. Emma Miloyo, who retires in accordance with the
provisions of Article 96 of the Company’s Articles of Association and, being
eligible, offers herself for re-election.",,,
"3. Re-election of Mr. Dancan Irungu, who retires in accordance with the provisions
of Article 96 of the Company’s Articles of Association and, being eligible, offers
himself for re-election.",,,
"4. Re-election of Dr. Shikoh Gitau, who retires in accordance with the provisions
of Article 96 of the Company’s Articles of Association and, being eligible, offers
herselfforherself for re-election.",,,
"5. ERe-election of Mr. Ali Hussein Kassim, who, having completed his term as retires
as an independent director in accordance accordance with the regulations of the
Capital Markets Authority,Authority, retires from the Board and offers himself for
election as a non-executive director.",,,
"6. Re-election of Dr. Sara Ruto, who retires in accordance with the provisions of
Article 98 (a) of the Company’s Articles of Association and, being eligible, offers
herself for re-election.",,,
"7. To approve the Directors Remuneration Report for the (cid:285)nancial year ended 30
June 2025.",,,
"8. To reappoint Messrs KPMG Kenya as Auditors of the Company in accordance
with the provisions of Section 721(2) of the Companies Act, 2015, and to
authorize the Directors to (cid:285)x their remuneration for the ensuing (cid:285)nancial year.",,,
