"Share
capital",Column,"Share
premium","Retained
earnings","Translation
reserve","Non-
controlling
interest","Total
equity"
Shs’000,,Shs’000,Shs’000,Shs’000,Shs’000,Shs’000
"272,440",,"368,289","326,031","(19,193)",-,"947,567"
,-,-,"133,973",,(97),"133,876"
-,,-,-,"(15,250)",-,"(15,250)"
-,,-,-,-,(133),(133)
-,,-,"(95,354)",-,-,"(95,354)"
-,,-,"(25,000)",-,-,"(25,000)"
"272,440",,"368,289","339,650","(34,443)",(230),"945,706"
"272,440",,"368,289","339,650","(34,443)",(230),"945,706"
-,,-,"183,031",-,573,"183,604"
-,,-,-,"(10,664)",-,"(10,664)"
,-,-,"(79,008)",-,-,"(79,008)"
"272,440",,"368,289","443,673","(45,107)",343,"1,039,638"
