Column,Column,Column,Gr,oup,Column,Com,Column,pany
At 30 June,2023,,2022,,2023,,2022,
,Shs’000,,Shs’000,,Shs’000,,Shs’000,
,"1,014,",591,"893,",535,70,"0,685",627,",198"
,"(51,113)",,"(31,611)",,"(35,350)",,"(21,988)",
,"963,478",,"861,924",,"665,335",,"605,210",
