Group,Column,Column,Column,Company,Column,Column,Column
2024,,,2023,2024,,2023,
,KShs’000,KSh,s’000,KShs’00,0,KShs’0,00
"452,979
-
( 51,070)",,3,"62,420","250,896
-
(40,300)",,"65,083",
,,4,"62,391",,,"310,982",
,,(,"89,836)",,,"( 47,183)",
,"401,909",7,"34,975","210,5",96,328,",882"
