Column,2023,2022,Resta,ted,Column,2023,Column,Column,2022 Rest,Column,Column
Shs’000,,Shs’,,000,Shs’000,,,,,,
17,,,,101,16,,,,,,
(58,",803)",,"(18,4",78),,(,"58,577",),,(18,",478)"
"(58,786)",,"(18,3",,77),"(58,561)",,,,,,
