Director,Nationality,Description,Date of appointment
Hon Francis T Nyammo,Kenyan,Non-Executive,01/07/1977
Centum Investment Company PLC*,Body Corporate,-,22/02/2008
Mr Raymond Nyamweya,Kenyan,Non-Executive,01/04/2004
Mr Ali Hussein Kassim,Kenyan,Independent Non-executive,01/03/2014
Mrs Truphosa Kwaka-Sumba,Kenyan,Independent Non-executive,01/12/2014
Mr Muigai Githu,Kenyan,Non-Executive,20/08/2015
Mr Fredrick Murimi,Kenyan,Non-Executive,21/04/2017
Mr Maxwell Wahome,Kenyan,"Executive – Group
Managing Director",04/09/2018
Ms Emma Miloyo,Kenyan,Independent Non-executive,01/04/2020
