"Condensed consolidated statement of comprehensive
income for the six-month period ended",Column,Column,"Condensed consolidated statement of financial position
as at",Column,Column,Column,Column
,31-Dec-21,31-Dec-20,,,,31-Dec-21,30-Jun-21
,Kshs 000’,Kshs 000’,,,,Kshs 000’,Kshs 000’
Revenue,"960,969","288,515",Pre-publishing costs,,,"804,712","802,370"
Cost of sales,"(628,247)","(197,295)",Goodwill,,,"125,786","125,786"
Gross profit,"332,722","91,220",Trade and other receivables,,,"719,349","873,136"
Operating expenses,"(236,150)","(143,394)",Inventories,,,"585,058","684,516"
Finance costs,"(64,619)","(93,158)",Other assets,,,"368,761","391,921"
Profit/(loss) before tax,"31,953","(145,332)",Total assets,,,"2,603,666","2,877,729"
Income tax expense,"(16,862)",-,Borrowings,,,"914,315","1,177,002"
Profit/(loss) before tax,"15,091","(145,332)",Trade and other payables,,,"933,339","959,806"
Other comprehensive income,-,-,Total liabilities,,,"1,847,654","2,136,808"
Total comprehensive income/(loss),"15,091","(145,332)",Total equity,,,"756,012","740,921"
,,,Total equity and liabilities,,,"2,603,666","2,877,729"
"Condensed consolidated statement of cashflows for the
six-month period ended",,,"Condensed consolidated statement of changes in equity
for the six-month period ended",,,,
,31-Dec-21,31-Dec-20,,"Share
Capital &
Premium","Retained
earnings","Non-
controlling
interest",Total
,Kshs 000’,Kshs 000’,,Kshs 000’,Kshs 000’,Kshs 000’,Kshs 000’
Net cash generated from/(used in) operating activities,"301,198","(167,587)",At 1 July 2020,"640,729","93,678",358,"734,765"
Net cash used in investing activities,"(20,997)","(35,333)",Comprehensive income,-,"6,903",(747),"6,156"
Net cash (used in)/generated from financing activities,"(268,687)","97,781",,,,,
Net increase/(decrease) in cash and cash equivalents,"11,514","(105,139)",At 30 June 2021,"640,729","100,581",(389),"740,921"
Cash and cash equivalents at start of period,"36,866","115,769",Comprehensive income,-,"15,332",(241),"15,091"
Cash and cash equivalents at end of period,"48,380","10,630",At 31 December 2021,"640,729","115,913",(630),"756,012"
