Column,Group,Column,Company
2018,2017,2018,2017
Shs’000,Shs’000,Shs’000,Shs’000
"273,146","179,147","280,571","200,213"
"21,545","27,537","15,142","19,217"
"5,156","4,798","3,817","3,727"
"22,740","5,743","22,740","5,743"
"10,282","(1,493)","7,004",(665)
"6,803","(6,040)","6,737","(5,685)"
"4,828","89,279","(54,143)","106,086"
"(8,833)","(102,931)","(61,963)","(189,425)"
"169,344","84,149","250,609","113,417"
,,"(42,383)",
"505,011","280,189","428,131","252,628"
