Share capital,Share premium,Retained earnings,Total equity
"272,440","368,289","145,980","786,709"
-,-,"32,277","32,277"
"272,440","368,289","178,257","818,986"
"272,440","368,289","178,257","818,986"
-,-,"37,707","37,707"
"272,440","368,289","215,964","856,693"
