Gross amounts,"Expected Credit Loss
(ECL)",Total
Shs’000,Shs’000,Shs’000
"506,979","(132,294)","374,685"
"8,046","(2,376)","5,670"
"36,717",-,"36,717"
"160,414",-,"160,414"
"712,156","(134,670)","577,486"
"890,215","(110,371)","779,844"
"3,666",-,"3,666"
"6,111",-,"6,111"
"36,866",-,"36,866"
"936,858","(110,371)","826,487"
"268,381","(79,449)","188,932"
"6,339",(886),"5,453"
"42,763",-,"42,763"
"719,698",-,"719,698"
"153,584",-,"153,584"
"1,190,765","(80,335)","1,110,430"
"738,561","(80,335)","658,226"
"1,742",-,"1,742"
"11,011",-,"11,011"
"643,456",-,"643,456"
"30,285",-,"30,285"
"1,425,055","(80,335)","1,344,720"
