NO.,BUSINESS RISK,MITIGATION
1.,"Curriculum Change
The move from knowledge based
curriculum to competence based
curriculum will mean a complete
overhaul of Longhorn’s course books.
Longhorn will need to invest
significantly so as to have the right
products for the new curriculum.","We have invested significantly in skill development and training
of staff to ensure that our publishing team is conversant with the
demands of the new curriculum.
We have over the years participated in developing books for skill
based curriculum in other countries in the region with considerable
success."
2.,"Shift to Digital Publishing
This shift in trend from physical books
to digital books is a major disruption to
traditional publishing.","We have been able to work with digital service providers and
digital platform vendors to deliver content to the end user.
We have been able to convert over 60% of our content to digital
format.
We have a dedicated team of digital publishers, content providers
and a digital sales and marketing team that works on the
development and provision of digital content.
We have identified digital publishing as a significant area for
growth."
3.,"Piracy
Resulting in loss of revenue for
publishers.","We have been working with the Kenya Publishers Association
and the Kenya Copyright Board (KECOBO) in combating the piracy
menace.
We have added anti-piracy features on our popular products in
order to reduce this vice.
We have diversified into digital publishing and have developed
digital products with enhanced security features to minimise
piracy."
