New standard or amendments,"Effective for annual periods
beginning on or after"
"Lack of Exchangeability – Amendments to IAS 21 The Effects of
Changes in Foreign Exchange Rates",1 January 2025
"Amendments to IFRS 10 and IAS 28 Sale or Contribution of Assets
between an investor and its Associate or Joint Venture",1 January 2024
"Classi(cid:285)cation of liabilities as Current or Non-Current and Non-current
Liabilities with Covenants – Amendments to IAS 1 Presentation of
Financial Statements",1 January 2024
"Amendments to IAS 7 Statement of Cash Flows and IFRS 7 Financial
Instruments: Disclosures – Supplier Finance Arrangements",1 January 2024
