Column,Column,Column,AGAINST ABSTAIN
ORDINA,RY BUSINES,S,
"1. To receive, consider and adopt the Financial Statements for the
financial year ended 30 June 2024 together with the Chairman’s
Statement, and the Directors' and Auditors' reports thereon.",,,
"2. Re-election of Mr Muigai Githu, who retires in accordance with the
provisions of Article 96 of the Company’s Articles of Association and,
being eligible, offers himself for re-election.",,,
"3. Re-election of Mr Fred Murimi, who retires in accordance with the
provisions of Article 96 of the Company’s Articles of Association and,
being eligible, offers himself for re-election.",,,
"4. Pursuant to Section 769 (1) of the Companies Act 2015, to elect the
following directors to serve as members of the Board Audit & Risk
Committee:-
• Dr Dancan Irungu – Chairperson
• Mr Fred Murimi
• Ms Emma Miloyo
• Dr Shikoh Gitau",,,
"5. To approve the Directors Remuneration Report for the financial year
ended 30 June 2024.",,,
"6. To reappoint Messrs KPMG Kenya as Auditors of the Company in
accordance with the provisions of Section 721(2) of the Companies
Act, 2015, and to authorize the Directors to fix their remuneration
for the ensuing financial year.",,,
