CAPITALS,PROCESS,OUTPUT,OUTCOMES
"INTELLECTUAL
Our Business depends largely
on intellectual inputs from
various stakeholders including
our authors and publishing staff
across the region that drive
our publications and product
development.","• Receipt of manuscripts from authors
• Editorial works on approved
manuscripts
• Digitization of works
• Generation of apps that supplement
the standard forms of learning through
print material","Academic and non
-academic learning
materials available in
both print and digital.","a. Diversification of Products and Regional Markets • Introduced a new and improved user interface for
KENYA: our e-Learning platform.
• Produced Mastering Primary Series which was • Availed virtual video classes to both primary and
launched in December 2019 at the Kenya Primary secondary school learners during the COVID-19
Schools Heads Association (KEPSHA). pandemic.
• Received the Kenya Institute of Curriculum • Introduced an e-Learning Java app for offline
Development (KICD) approvals on 5 books, in users.
Competency-based Curriculum (CBC) Grade 5. • Developed CBC Grade 3&4 interactive e-learning
We were awarded printing & distribution of over content.
1m copies of CBC Grade 5 CRE Activities book, to • Introduced expert revision guide for class 7 & 8
all public primary schools in Kenya. Additionally, and Form 3 & 4 onto our e-Learning platform.
in Feb 2020, we were awarded printing &
distribution of about 630,000copies of social c. Our Customers
studies book 6, to all public primary schools in • Held a Customer Appreciation Award ceremony
Kenya. at Serena Hotel to appreciate the best customer
• Successfully distributed over 2 million copies of across the region for the year 2019/20.
Grade 4 English and Social Studies text-books to • We held Customer visits to various bookshops
all public primary schools in Kenya. across various regions countrywide where
we were able to collect feedback and resolve
ZAMBIA: customer complaints.
• The government approved atlases for 3 levels: • During Customer Service Week, our customer
Primary, Junior Secondary and Senior Secondary. care team visited various bookshops in Nairobi
• Developing more than 20 titles for the Zambian and delivered lunch as part of our customer
market. appreciation activity.
MALAWI: d. Our Communities and Authors
• Submitted 40 titles for Standard 5 and 6 for • Ksh 1.2 M in donations during the year.
approval. These include 20 learners' books and 20 • Ksh 91M in royalties earned in the year
teacher guides. • Hosted a number of free webinars that covered
various topics such as home schooling, reaching
UGANDA: out to students remotely and back to school
• Currently distributing approximately 550,000 preparedness.
copies of P5 & P7 English readers to over 13,000 • Hosted book launch events for our new titles “My
government schools. First Time” and “ The Investment Handbook”
• The government has approved 24 assorted titles
for P5 to P7 of which 14 are Course Books, 9 are e. Our Employees
readers while 1 is a chart for mathematics. • Total staff count 129
• Submitted 38 titles for Senior 1 & 2 for government • Total staff salaries and benefits at Ksh 260M
evaluation and approval and currently developing • Attained gender staff ratio of 1:1
35 titles for Senior 3 & 4. • Sponsored 3,105 hours of training through
LinkedIn Learning
TANZANIA: • Agile working environment that enabled
• Successfully developed 18 titles for ECDE, 7 titles employees to work from home reducing the
for Grade 6, Laboratory Manuals for Biology, risk of spreading the COVID-19 virus while also
Chemistry and Physics. providing protective equipment including
hand sanitizer, masks and gloves for employees
CAMEROON: working from the office.
• Approval of titles submitted to Cameroon and
distribution is currently ongoing. f. Business Growth
• Investment in regional and product diversification
DEMOCRATIC REPUBLIC OF CONGO of Ksh 232M
• Developed and submitted Primary Maths, Primary • Half year revenue increase of 4% and opex
Science, and Primary Francais textbooks in DRC. decrease of 18 % from prior year.
• At full year, as a result of COVID-19 and a
b. Digital Learning strained operating environment, the business
• Introduced a new-skills learning application for performance was adversely affected as captured
young adults dubbed SOMO. in the financial statements."
"HUMAN
We endeavor to create an
environment that attracts, recruits
and retains top talent to achieve
our strategic goals.","• Competitive recruitment process
• Diversification in the composition of
staff and board members
• Continuous staff training and staff
welfare projects
• Competitive wages based on industry
rates
• Agile working environment based on
changing environmental factors such
as the COVID-19 Global pandemic",,
"SOCIAL
Our stakeholders are very
important to us as we aim to
create an environment that will
enable us to holistically grow
together.","• Customer appreciation initiatives
• Content creation in line with the
current environment
• Corporate Governance
• Continuous engagement with
our vendors through competitive
procurement processes",,
"FINANCIAL
Our financial capital consists of
a mix of equity and debt from
investors and institutional lenders
to support the organization's
strategic objectives.","• Continuous monitoring of top line
movement
• Continuous improvements in
operations by employing measures to
boost our operational efficiencies",,
