Column,Group,Column,Column,Column,Company,Column,Column,Column
,2024,,2023,,2024,,2023,
,KShs’00,0,KShs’,000,KS,hs’000,,KShs’000
,"23,429",,"289,780",,"352,319",,"484,438",
es,"1,019,989",,"1,220,485",,"979,167",,"1,178,865",
,"19,50",0,"14,",342,,"19,500",,"14,342"
,"(27,53",3),"(83,0",75),(,"22,023)",,"(69,352)"
,"1,011,956",,"1,151,752",,"976,644",,"1,123,855",
,4319%,,397%,,277%,,232%,
