Member,29 August 2019,31 October 2019,23 January 2020,23 April 2020,5 June 2020
A K Hussein (Chair),√,√,√,√,√
T Kwaka-Sumba,√,√,√,√,√
R Nyamweya,√,-,√,√,√
S Omanga*,-,√,-,-,-
F Murimi,√,√,√,√,√
E Miloyo**,-,-,-,-,√
