Column,No. of shareholders,No. of shares,%
Less than 500,"1,504","267,280",0.10%
"501 – 5,000",1057,"2,112,907",0.78%
"5001 – 10,000",237,"1,784,171",0.65%
"10,001 – 100,000",303,"8,814,073",3.24
"100,001 – 1,000,000",36,"10,764,916",3.72%
"Above 1,000,000",17,"248,697,126",91.28%
Totals,"3,154","272,440,473",100.00%
