Column,"Effective for annual periods beginning on or
after"
New and Amendments to standards,
IFRS 9 (2014),1 January 2018
"IFRS 15 Revenue from Contracts with
Customers",1 January 2017
"Amendments to IAS 19 Defined Benefit Plans
:Employee Contributions",1 July 2014
Annual Improvements 2010-2012 Cycle,1 July 2014
Annual Improvements 2011-2013 Cycle,1 July 2014
"Amendments to IFRS 11.Accounting for
Acquisitions of Interests in Joint Operations",1 January 2014
"Amendments to IAS 16 and IAS 38.Clarification
of Acceptable Methods of Depreciation and
Amortisation",1January 2016
"Amendments to IAS 16 and IAS 41 Agriculture
:Bearer Plants",1 January 2016
