"14,749",Column,"14,803",Column,"11,01",Column,"4 9,621",Column
"3,099",,"4,104",,"2,51",,"9 3,794",
-,,"125,786",,,,"- 125,786",
,"8,640",,"6,696",,"4,50",0,"3,490"
"142,694",,"226,083",,"91,60",,"6 170,861",
"28,312",,"30,294",,"27,78",,"2 29,413",
,"4,192",,"4,987",,"2,35",6,"3,556"
,"23,438",,"22,786",,"12,59",7,"18,569"
"8,962",,"8,850",,"7,82",,"0 7,460",
(595),,"19,052",,20,,"2 17,346",
,"38,150",,"61,618",,"27,56",9,"56,830"
"271,641",,"525,059",,"187,96",,"5 446,726",
