Performance ratios,"Group
2017 2016",Column,Column,"Company
2017 2016",Column,Column
Revenue in (Shs ‘000’),,"1,451,774","1,503,512",,"1,282,658","1,421,176"
Gross profit as a percentage of revenue,,53%,50%,,52%,50%
Operating profit as a percentage of revenue,,16%,11%,,19%,14%
Profit before income tax (Shs.),,"133,876","104,063",,"156,259","131,905"
Net assets (Shs ‘000’),,"945,936","947,567",,"985,050","949,145"
