Column,Column,No. of shareholders,Column,Column,No.,Column,of shares,Column,%,Column,Column
Less than,500,,1,",539",,,"266,8",14,,0,.10%
"501 – 1,000",,353,,,,,"298,379",,0.11%,,
"1,001 – 5,000",,631,,,,,"1,640,971",,0.60%,,
"5,001 – 10,000",,226,,,,,"1,681,214",,0.62%,,
"10,001 –","50,000",,,241,,,"5,439,8",98,,2,.00%
"50,001 – 100,000",,36,,,,,"2,605,179",,0.96%,,
"100,001","– 500,000",,,28,,,"6,747,9",08,,2,.48%
"500,001 – 1,000,000",,6,,,,,"4,076,150",,1.50%,,
"Above 1,000,000",,18,,,24,,"9,683,960",,91.65%,,
Totals,,,3,",078",,272,",440,4",73,,100,.00%
