Column,No. of shareholders,No. of shares,%
Less than 500,"1,039","196,435",0.07
501 - 5000,971,"1,984,210",0.73
"5001 – 10,000",232,"1,740,689",0.64
"10,001 – 100,000",302,"8,570,121",3.15
"100,001 – 1,000,000",41,"12,197,692",4.48
"Above 1,000,000",16,"247,751,326",90.94
Totals,"2,601","272,440,473",100.00
