Column,Column,Column,Group,Column,Column,Column,Column,Company,Column,Column,Column
Perform,ance ratios,,,2024,,,2023,20,24,2,023
Revenue in (KShs’000),,,"1,521,825",,"1,071",,",031","1,127,195",,"883,113",
Gross profit margin,,,21%,,,,18%,26%,,18%,
Operati,ng (loss)/profi,t margin,,(5%),,(,42%),,2%,(,37%)
Loss before income tax (KShs’000),,,"( 285,125)",,(630,,",117)","(179,087)",,"(510,567)",
Net asse,ts (KShs ‘000,),,"23,429",,289,",780","352,3",19,484,",438"
