"Share
capital","Share
premium","Retained
earnings","Translation
reserve","Non-
controlling
interest","Total
equity"
Shs’000,Shs’000,Shs’000,Shs’000,Shs’000,Shs’000
"272,440","368,289","339,650","(34,443)",(230),"945,706"
-,-,"183,031",-,573,"183,604"
-,-,-,"(10,664)",-,"(10,664)"
-,-,"(79,008)",-,-,"(79,008)"
"272,440","368,289","443,673","(45,107)",343,"1,039,638"
"272,440","368,289","443,673","(45,107)",343,"1,039,638"
-,-,"185,236",-,(111),"185,125"
-,-,-,"(7,616)",-,"(7,616)"
-,-,"(112,843)",-,-,"(112,843)"
"272,440","368,289","516,066","(52,723)",232,"1,104,304"
