Column,Share capital,"Share
premium","Retained
earnings",Total equity
Year ended 30 June 2017,Shs’000,Shs’000,Shs’000,Shs’000
,"272,440","368,289","308,416","949,145"
,-,-,"156,259","156,259"
,-,-,"(95,354)","(95,354)"
,-,-,"(25,000)","(25,000)"
,"272,440","368,289","344,321","985,050"
,"272,440","368,289","344,321","985,050"
,-,-,"195,867","195,867"
,-,-,"(79,008)","(79,008)"
,"272,440","368,289","461,180","1,101,909"
