Notes,"2022
Shs’000","2021
Shs’000"
12 (a),"187,802","182,955"
13 (a),"7,846","9,959"
13 (b),"861,924","802,370"
15,"39,731","39,731"
16,"125,786","125,786"
17,"37,386","73,147"
,"1,260,475","1,233,948"
18,"748,697","684,516"
19,"487,184","873,136"
,"28,397","32,111"
20,"160,414","54,018"
,"1,424,692","1,643,781"
,"2,685,167","2,877,729"
21,"272,440","272,440"
21,"368,289","368,289"
,"196,676","156,623"
,"(54,010)","(56,042)"
,"783,395","741,310"
,(524),(389)
,"782,871","740,921"
22,"922,297","942,654"
23,"979,999","1,177,002"
20,-,"17,152"
,"1,902,296","2,136,808"
,"2,685,167","2,877,729"
