Column,-,-,-,Column,"(28,608)","28,608",-,Column
"Hedge fair value loss recognized
through OCI
Hedge fair value gain from OCI to P&L
Deferred tax in respect of fair value gain
through OCI",-,"-
-","-
-
-","(88,236)
46,843
14,755","-
-
-","-
-
-","-
-
-","(88,236)
46,843
14,755"
,,-,-,"(26,638)",-,-,,
,"15
15
15","-
-
-","-
-
-","-
-
-","-
-
-","-
(350,000)
(4,150,000)","(3,000,000)
-
4,150,000",
,,-,-,-,-,"(4,500,000)","1,150,000",
,,"1,000,000",23,-,"1,726,977","4,979,065","4,150,000",
