Column,"Attended/Eligible
to attend",Column
Name,Scheduled,Ad hoc
Dr. Martin Oduor-Otieno,3/3,0/0
Samuel Onyango,3/3,0/0
Marion Gathoga-Mwangi,2/3,0/0
Paul Muthaura,3/3,0/0
