FUNCTION,Women,Men
Operations,45,196
Marketing,45,34
Finance,16,18
"Corporate, Regulatory Affairs,",7,3
Legal & Security,6,4
Information Digital Technology,4,4
Exec & Corp Services,-,2
Human Resources (HR),11,2
Grand Total,134,263
