Column,3.3,Column,3.8,Column,4.0,Column,4.3,Column,4.0
4.1%,,11.6%,,19.1%,,26.6%,,26.8%,
31.9%,,42.1%,,46.2%,,52.5%,,51.9%,
26.3%,,35.0%,,38.8%,,41.3%,,33.0%,
25.5%,,22.9%,,22.8%,,22.1%,,20.4%,
182.6%,,179.0%,,166.0%,,176.4%,,171.5%,
