Column,Column,KShs’ 000,KShs’ 000,KShs’ 000,KShs’ 000,KShs’ 000,KShs’ 000,Column
,,"1,000,000",23,-,"1,726,977","4,979,065","4,150,000",
,,-,-,-,-,"6,483,380",-,
"Transfer of excess depreciation
Deferred income tax on transfer","14
14","-
-","-
-","-
-","(57,285)
17,185","57,285
(17,185)","-
-","-
-"
,,-,-,-,"(40,100)","40,100",-,
"Fair value gain on revaluation of land
and buildings
Deferred tax on fair value gain on
revaluation of land and buildings",,"-
-","-
-","-
-","1,643,295
(492,989)","-
-","-
-","1,643,295
(492,989)"
,,-,-,-,"1,150,306",-,-,
"Hedge fair value (loss) through P&L
Hedge fair value (loss) through OCI
Deferred tax in respect of fair value
(loss) through OCI",,"-
-
-","-
-
-","(7,791)
(10,846)
3,254","-
-
-","-
-
-","-
-
-","(7,791)
(10,846)
3,254"
,,-,-,"(15,383)",-,-,-,
,"16
16
16","-
-
-","-
-
-","-
-
-","-
-
-","(350,000)
(5,000,000)","(4,150,000)
-
5,000,000",
,,-,-,-,-,"(5,350,000)","850,000",
,,"1,000,000",23,"(15,383)","2,837,183","6,152,545","5,000,000",
