At 31 December 2019,"Less than 1 year
KSh’000","Between 1 & 3 years
KSh’000"
Liabilities,,
Borrowings,"13,527","148,205"
Trade and other payables,"3,938,077",-
Amounts due to related parties,"606,282",-
Derivative financial instruments,"4,745",-
Total financial liabilities,"4,562,631","148,205"
Assets,,
Cash and bank balances,"1,811,443",-
Amounts due from related parties,"870,919",-
Trade and other receivables,"591,115",-
Derivative financial instruments,"42,799",-
Total financial assets,"3,316,276",-
,"99
3,566,723
161,584
7,947",
,"3,736,353",
,"187,675
1,732,483
588,067
16,989",
,"2,525,214",
