Column,Group,Company
,KShs’ 000,KShs’ 000
Year ended 31 December 2024,,
At start of year,"425,172","425,172"
Additional provisions,"100,963","58,416"
At end of year,"526,135","483,588"
,"389,257
35,915",
,"425,172",
