"5,339,577","3,969,581","414,095","713,279"
"4,246
-
-
(116,003)
112,070
53,929
(13,549)","110,568
-
(185,939)
(390,038)
222,863
-
-","175,349
7,358
(164)
(190,302)
97,669
-
-","101,727
-
-
-
(432,602)
-
-"
"5,380,270","3,727,035","504,005","382,404"
"6,938,403
(1,558,133)","10,118,516
(6,391,481)","1,749,743
(1,245,738)","382,404
-"
"5,380,270","3,727,035","504,005","382,404"
