Waste,Weight in tonnes,Column
,2024,2023
Total waste generated,"1,151.8","1,524.5"
Total waste sent to landfill,0.0,0.0
Total waste recycled,"1,134.4","1,490.3"
Incinerated waste,17.4,30.0
