1.1.2017,"Charged Charged
/(credited) /(credited)
to P&L to equity",31.12.2017
KSh.’000,KSh.’000 KSh.’000,KSh.’000
,"(80,073) -
20,549 -
42,879 -
(101,969) -
- 5,370",
"1,539,851",,"1,459,778"
"774,821",,"795,370"
"(42,879)",,-
"110,741",,"8,772"
-,,"5,370"
"2,382,534","(118,614) 5,370","2,269,290"
,"25,432 -
115,518 -
- (2,187)",
"(137,885)",,"(112,453)"
"(124,889)",,"(9,371)"
-,,"(2,187)"
"(262,774)","140,950 (2,187)","(124,011)"
"2,119,760","22,336 3,183","2,145,279"
