Column,"Attended/Eligible
to attend",Column
Name,Scheduled,Ad hoc
Rita Kavashe,2/2,0/0
Dr. Macharia Irungu,2/2,0/0
Andre Joubert /Sidney Wafula,2/2,0/0
Peter Mwangi*,0/1,0/0
Paul Muthaura,2/2,0/0
