At 31 December 2018,"Less than 1 year
KSh’000","Between 1 & 3 years
KSh’000"
Liabilities,,
Borrowings,99,"1,222,200"
Trade and other payables,"3,566,723",-
Amounts due to related parties,"161,584",-
Derivative financial instruments,"7,947",-
Total financial liabilities,"3,736,353","1,222,200"
Assets,,
Cash and bank balances,"187,675",-
Amounts due from related parties,"1,732,483",-
Trade and other receivables,"588,067",-
Derivative financial instruments,"16,989",-
Total financial assets,"2,525,214",-
,"1,680,724
3,100,691
157,047
7,289",
,"4,945,751",
,"28,873
1,999,133
753,940
17,900",
,"2,799,846",
