HS Audit Entity/scope,Status,Recommendation
BAT Group Global Sustainability Compliance Review,Compliant,"Enhance data collection on incidents, improve the risk
assessment process."
Annual DOSH Occupational Health and Safety Audit,Compliant,Enhance the noise réduction programme
Annual DOSH Fire Safety Audit,Complaint,Improve on the fire risk assessment.
