Column,"2023
K Shs’ 000",Column
"17
17
17
18
16","1,000,000
23
-
2,761,700
7,988,037
4,500,000",
,"16,249,760",
"27
19","8,813
1,991,624",
,"2,000,437",
,"18,250,197","18,466,060"
"20(a)
19","11,541,830
264,875",
,"11,806,705",
"22
28
23
24
25
20(b)","5,641,329
563,339
3,951,603
3,136
1,820,542
263,294",
,"12,243,243",
"26
27
24
30","5,360,637
13,942
-
425,172",
,"5,799,751",
,"6,443,492","6,370,238"
,"18,250,197","18,466,060"
