At 31 December 2024,"Less than 1 year
KShs’ 000","Between 1 & 3 years
KShs’ 000"
Liabilities,,
Borrowings,"21,390","95,853"
Trade and other payables,"3,034,125",-
Amounts due to related parties,"663,742",-
Total financial liabilities,"3,719,257","95,853"
Assets,,
Cash and bank balances,"5,120,449",-
Amounts due from related parties,"1,971,763",-
Trade and other receivables,"1,352,158",-
Total financial assets,"8,444,370",-
